หมวด,ฟีเจอร์ที่สกัด,หัวข้อประเมิน,สิ่งที่พิจารณา,ปรับปรุง,พอใช้,ใช้ได้,ใช้ได้ดี,ควรใช้,หมายเหตุ
00_ขอบเขต,—,ขอบเขตการประเมิน,"ระบุ: ช่วงวันที่, จำนวนบทสนทนาที่ทบทวน, โมเดล AI (เช่น Gemini), ขั้นตอน pipeline (ถอดเสียง/diarize/extract), แหล่งข้อมูล (demo/ชุดทดสอบ/งานจริง)",,,,,,
00_ขอบเขต,—,ข้อจำกัดที่ทราบระหว่างประเมิน,"เช่น คุณภาพเสียง, ภาษาถิ่น, เคสที่ไม่มีในตัวอย่าง — กรอกเอง",,,,,,
01_ภาพรวม,—,【คำชี้แจง】หมวดนี้,ประเมินคุณภาพการสกัดฟีเจอร์ด้วย AI โดยรวมจากหลายบทสนทนา ไม่ระบุไฟล์รายเคส — ใส่ 1 หรือ x ในช่องระดับ CLO เพียงช่องเดียวต่อแถว,,,,,,
01_ภาพรวม,ทุกฟีเจอร์,ความสอดคล้องข้ามฟีเจอร์,ข้อมูลในฟีเจอร์ต่างๆ ไม่ขัดแย้งกัน (เช่น ยาในอาการ vs ประวัติจ่ายยา vs คำแนะนำ),,,,,,
01_ภาพรวม,ทุกฟีเจอร์,การแยกประเด็นลงฟีเจอร์ถูกต้อง,AI ใส่ข้อมูลลงฟิลด์ที่ถูกต้อง ไม่เอาคำแนะนำไปใส่บันทึกอาการ หรือแพ้ยาไปใส่โรคประจำตัว,,,,,,
01_ภาพรวม,ทุกฟีเจอร์,ความปลอดภัยทางเภสัชกรรมโดยรวม,การสกัดรวมไม่ทำให้เสี่ยงต่อการจ่ายยาผิดจากข้อมูลที่ขาด/ผิด (โดยเฉพาะแพ้ยา),,,,,,
01_ภาพรวม,ทุกฟีเจอร์,ความสมบูรณ์ของ JSON/โครงสร้าง,ได้ครบทุก key ตามที่ระบบกำหนด รูปแบบพร้อมนำเข้า EMR/CSV,,,,,,
01_ภาพรวม,ทุกฟีเจอร์,ความทนทานต่อบทสนทนาซับซ้อน,บทสนทนายาว หลายอาการ หลายยา — ยังสกัดได้สมเหตุสมผล,,,,,,
01_ภาพรวม,ทุกฟีเจอร์,ความทนทานต่อถอดเสียง/บทสนทนาไม่สมบูรณ์,เมื่อบทสนทนามีคำผิดจาก ASR หรือไม่ชัด — AI ไม่เดาจนเกิดข้อมูลผิด,,,,,,
02_รายฟีเจอร์,ประเภทการมาใช้บริการ,【ประเภท】ภาพรวมฟีเจอร์นี้,ฟีเจอร์: มาซื้อยา / มาปรึกษา / ทั้งคู่ — จากบทสนทนาต้นทาง — ประเมินภาพรวมการสกัดฟีเจอร์นี้จากหลายบทสนทนา,,,,,,
02_รายฟีเจอร์,ประเภทการมาใช้บริการ,ความถูกต้องต่อบทสนทนา,ข้อความที่ AI สกัดตรงกับสิ่งที่พูดจริง ไม่เปลี่ยนความหมาย ไม่สลับผู้ป่วย/ยา/อาการ,,,,,,
02_รายฟีเจอร์,ประเภทการมาใช้บริการ,ความครบถ้วนของประเด็นสำคัญ,ประเด็นสำคัญในบทสนทนาถูกนำมาบันทึกครบ (ไม่ขาดหัวข้อหลักที่เภสัชต้องใช้),,,,,,
02_รายฟีเจอร์,ประเภทการมาใช้บริการ,ไม่สร้างข้อมูลนอกบทสนทนา,ไม่ hallucinate — ไม่เติมยา อาการ แพ้ยา หรือคำแนะนำที่ไม่มีหลักฐานในบทสนทนา,,,,,,
02_รายฟีเจอร์,ประเภทการมาใช้บริการ,การจัดการเมื่อไม่มีข้อมูล,เมื่อบทสนทนาไม่มีข้อมูล ใช้ '-' หรือว่างอย่างเหมาะสม ไม่เดาเติม,,,,,,
02_รายฟีเจอร์,ประเภทการมาใช้บริการ,ความกระชับและไม่ซ้ำซ้อน,ไม่ยืด ไม่คัดลอกซ้ำหลายฟีเจอร์โดยไม่จำเป็น อ่านแล้วตรงประเด็น,,,,,,
